Date,Price_nom,Div_nom,Earn_nom,Yield_10yr,CPI,Stk_ret,Bnd_ret,Div_yield
1919-12-31,8.92,0.53,0.93,4.930833333333333,18.9,-0.024573812114617177,0.0009722630338671046,0.05767138193688793
1920-01-31,8.83,0.5283,0.9192,4.97,19.3,-0.005154147982062818,0.0010091898666355625,0.059226457399103136
1920-02-29,8.1,0.5267,0.9083,4.9799999999999995,19.5,-0.0777019630049075,0.0032821240192619783,0.0596489241223103
1920-03-31,8.67,0.525,0.8975,4.99,19.7,0.07577160493827151,0.0032904646725895326,0.06481481481481483
1920-04-30,8.6,0.5233,0.8867,5.0,20.3,-0.003044021530180796,0.0032988043603370265,0.060357554786620526
1920-05-31,8.06,0.5217,0.8758,5.01,20.6,-0.05773546511627892,0.0033071430828739423,0.060662790697674426
1920-06-30,7.92,0.52,0.865,5.02,20.9,-0.011993382961124954,0.0033154808405702063,0.06451612903225806
1920-07-31,7.91,0.5183,0.8542,5.029999999999999,20.8,0.004190867003367016,0.003323817633795745,0.06544191919191919
1920-08-31,7.6,0.5167,0.8433,5.039999999999999,20.3,-0.03374736620311847,0.003332153462919596,0.06532237673830595
1920-09-30,7.87,0.515,0.8325,5.05,20.0,0.041173245614035237,0.003340488328310798,0.06776315789473684
1920-10-31,7.88,0.5133,0.8217,5.0600000000000005,19.9,0.00670584498094029,0.0033488222303379445,0.06522236340533671
1920-11-30,7.48,0.5117,0.8108,5.069999999999999,19.8,-0.045350042301184446,0.003357155169369852,0.06493654822335027
1920-12-31,6.81,0.51,0.8,5.079999999999999,19.4,-0.08389037433155089,0.0033654871457735602,0.06818181818181818
1921-01-31,7.11,0.5058,0.7575,5.09,19.0,0.050242290748898855,0.003373818159917885,0.07427312775330397
1921-02-28,7.06,0.5017,0.715,5.024166666666666,18.4,-0.0011521331458042017,0.009191678799132852,0.07056258790436006
1921-03-31,6.88,0.4975,0.6725,4.958333333333333,18.3,-0.019623465533522233,0.009155275116762729,0.07046742209631729
1921-04-30,6.91,0.4933,0.63,4.8925,18.1,0.010335513565891574,0.009118918449421365,0.07170058139534884
1921-05-31,7.12,0.4892,0.5875,4.826666666666666,17.7,0.036290400385914134,0.009082609220790072,0.0707959479015919
1921-06-30,6.55,0.485,0.545,4.760833333333333,17.6,-0.07437968164794018,0.009046347857655901,0.06811797752808989
1921-07-31,6.53,0.4808,0.5025,4.695,17.7,0.0030636132315522424,0.009010134789941837,0.07340458015267176
1921-08-31,6.45,0.4767,0.46,4.629166666666666,17.7,-0.006167687595712179,0.008973970450734559,0.07300153139356814
1921-09-30,6.61,0.4725,0.4175,4.5633333333333335,17.5,0.030910852713178283,0.008937855276299755,0.07325581395348836
1921-10-31,6.7,0.4683,0.375,4.4975,17.5,0.019519667170952992,0.00890178970611899,0.07084720121028744
1921-11-30,7.06,0.4642,0.3325,4.431666666666667,17.4,0.05950497512437791,0.00886577418290413,0.06928358208955224
1921-12-31,7.31,0.46,0.29,4.365833333333333,17.3,0.04084041548630779,0.008829809152627988,0.0651558073654391
1922-01-31,7.3,0.4642,0.3233,4.3,16.9,0.0039238486092112446,0.008793895064554746,0.06350205198358413
